site,site.code,year,date,doy,week,observer,obs.start,obs.end,tot.obs.length,weather,habitat,habitat.code,no.bees,genus,species,caste,behaviour,plant.species,resource.coll,flw.per.meter.sum.week,flw.count.sum.week
Avery.Wash,AW,2015,13-May-15,133,1,JEO,11:45:00,12:30:00,45,clear.warm,dry,d,1,Bombus,bifarius,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,13-May-15,133,1,JEO,11:45:00,12:30:00,45,clear.warm,wet,w,1,Bombus,bifarius,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,21-May-15,141,2,JEO,13:35:00,14:55:00,80,cloudy.warm,aspen,a,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,nectar,1.2,3
Avery.Wash,AW,2015,21-May-15,141,2,JEO,13:35:00,14:55:00,80,cloudy.warm,dry,d,1,Bombus,bifarius,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,21-May-15,141,2,JEO,13:35:00,14:55:00,80,cloudy.warm,dry,d,1,Bombus,bifarius,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,21-May-15,141,2,JEO,13:35:00,14:55:00,80,cloudy.warm,wet,w,1,Bombus,bifarius,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,21-May-15,141,2,JEO,13:35:00,14:55:00,80,cloudy.warm,wet,w,1,Bombus,bifarius,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,21-May-15,141,2,JEO,13:35:00,14:55:00,80,cloudy.warm,wet,w,1,Bombus,bifarius,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,21-May-15,141,2,JEO,13:35:00,14:55:00,80,cloudy.warm,wet,w,1,Bombus,bifarius,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,21-May-15,141,2,JEO,13:35:00,14:55:00,80,cloudy.warm,wet,w,1,Bombus,bifarius,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,21-May-15,141,2,JEO,13:35:00,14:55:00,80,cloudy.warm,wet,w,1,Bombus,bifarius,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,21-May-15,141,2,JEO,13:35:00,14:55:00,80,cloudy.warm,wet,w,1,Bombus,bifarius,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,29-May-15,149,3,JEO,16:08:00,17:08:00,60,cloudy.mild,wet,w,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,NA,40.800000000000004,102
Avery.Wash,AW,2015,29-May-15,149,3,JEO,16:08:00,17:08:00,60,cloudy.mild,wet,w,1,Bombus,bifarius,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,09:35:00,10:35:00,60,clear.warm,dry,d,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,NA,94.8,237
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,09:35:00,10:35:00,60,clear.warm,dry,d,1,Bombus,bifarius,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,09:35:00,10:35:00,60,clear.warm,dry,d,1,Bombus,bifarius,q,ns,NA,NA,NA,NA
