year,site,site.code,plant.species,week,flw.per.meter.sum.week,flw.count.sum.week
2015,Avery.Wash,AW,Achillea.millefolium,10,1.6,4
2015,Avery.Wash,AW,Achillea.millefolium,11,3.5999999999999996,9
2015,Avery.Wash,AW,Achillea.millefolium,12,1.2000000000000002,3
2015,Avery.Wash,AW,Achillea.millefolium,13,2.8,7
2015,Avery.Wash,AW,Achillea.millefolium,14,0.8,2
2015,Avery.Wash,AW,Achillea.millefolium,15,0.8,2
2015,Avery.Wash,AW,Achillea.millefolium,16,0.8,2
2015,Avery.Wash,AW,Adenolinum.lewisii,11,0.4,1
2015,Avery.Wash,AW,Agoseris.aurantiaca,8,0.4,1
2015,Avery.Wash,AW,Agoseris.aurantiaca,11,3.6,9
2015,Avery.Wash,AW,Agoseris.aurantiaca,12,2.8,7
2015,Avery.Wash,AW,Aquilegia.coerulea,7,2,5
2015,Avery.Wash,AW,Aquilegia.coerulea,8,5.2,13
2015,Avery.Wash,AW,Aquilegia.coerulea,9,4,10
2015,Avery.Wash,AW,Aquilegia.coerulea,10,1.2000000000000002,3
2015,Avery.Wash,AW,Claytonia.lanceolata,1,17.2,43
2015,Avery.Wash,AW,Claytonia.lanceolata,2,126,315
2015,Avery.Wash,AW,Claytonia.lanceolata,3,103.6,259
2015,Avery.Wash,AW,Claytonia.lanceolata,4,224.4,561
2015,Avery.Wash,AW,Claytonia.lanceolata,5,63.2,158
2015,Avery.Wash,AW,Claytonia.lanceolata,6,1.6,4
2015,Avery.Wash,AW,Collomia.linearis,9,16.4,41
2015,Avery.Wash,AW,Collomia.linearis,10,129.2,323
2015,Avery.Wash,AW,Collomia.linearis,11,95.2,238
2015,Avery.Wash,AW,Collomia.linearis,16,7.199999999999999,18
2015,Avery.Wash,AW,Delphinium.barbeyi,9,14.4,36
2015,Avery.Wash,AW,Delphinium.barbeyi,10,83.2,208
2015,Avery.Wash,AW,Delphinium.barbeyi,11,211.20000000000002,528
2015,Avery.Wash,AW,Delphinium.barbeyi,12,202,505
2015,Avery.Wash,AW,Delphinium.nuttallianum,6,18,45
2015,Avery.Wash,AW,Delphinium.nuttallianum,7,6.8,17
2015,Avery.Wash,AW,Delphinium.nuttallianum,8,0.4,1
2015,Avery.Wash,AW,Draba.aurea,8,0,0
2015,Avery.Wash,AW,Dugaldia.hoopesii,7,3.5999999999999996,9
2015,Avery.Wash,AW,Dugaldia.hoopesii,8,10.4,26
2015,Avery.Wash,AW,Dugaldia.hoopesii,9,10.4,26
2015,Avery.Wash,AW,Dugaldia.hoopesii,10,12.8,32
2015,Avery.Wash,AW,Dugaldia.hoopesii,11,15.2,38
2015,Avery.Wash,AW,Dugaldia.hoopesii,12,5.2,13
2015,Avery.Wash,AW,Erigeron.elatior,10,22,55
2015,Avery.Wash,AW,Erigeron.elatior,11,64,160
2015,Avery.Wash,AW,Erigeron.elatior,12,80.8,202
2015,Avery.Wash,AW,Erigeron.elatior,13,47.199999999999996,118
2015,Avery.Wash,AW,Erigeron.elatior,14,6.8,17
2015,Avery.Wash,AW,Erigeron.elatior,15,4,10
2015,Avery.Wash,AW,Erigeron.flagellaris,9,19.599999999999998,49
2015,Avery.Wash,AW,Erigeron.flagellaris,10,31.200000000000003,78
2015,Avery.Wash,AW,Erigeron.flagellaris,11,17.6,44
2015,Avery.Wash,AW,Erigeron.flagellaris,12,11.6,29
2015,Avery.Wash,AW,Erigeron.speciosus,9,5.2,13
2015,Avery.Wash,AW,Erigeron.speciosus,11,5.6,14
2015,Avery.Wash,AW,Erigeron.speciosus,12,48.4,121
2015,Avery.Wash,AW,Erigeron.speciosus,13,31.6,79
2015,Avery.Wash,AW,Erigeron.speciosus,14,6.8,17
2015,Avery.Wash,AW,Erigeron.speciosus,15,4,10
2015,Avery.Wash,AW,Erigeron.speciosus,16,0.8,2
2015,Avery.Wash,AW,Erythronium.grandiflorum,4,0.4,1
2015,Avery.Wash,AW,Fragaria.virginiana,5,6.8,17
2015,Avery.Wash,AW,Fragaria.virginiana,6,40,100
2015,Avery.Wash,AW,Fragaria.virginiana,7,2.8,7
2015,Avery.Wash,AW,Geranium.richardsonii,7,6.4,16
2015,Avery.Wash,AW,Geranium.richardsonii,8,3.1999999999999997,8
2015,Avery.Wash,AW,Geranium.richardsonii,9,5.2,13
2015,Avery.Wash,AW,Geranium.richardsonii,10,2.8,7
2015,Avery.Wash,AW,Geranium.richardsonii,11,0.8,2
2015,Avery.Wash,AW,Geranium.richardsonii,12,0.4,1
2015,Avery.Wash,AW,Helianthella.quinquenervis,8,8.4,21
2015,Avery.Wash,AW,Helianthella.quinquenervis,9,10.8,27
2015,Avery.Wash,AW,Helianthella.quinquenervis,10,11.2,28
2015,Avery.Wash,AW,Helianthella.quinquenervis,11,3.6,9
2015,Avery.Wash,AW,Helianthella.quinquenervis,12,0.8,2
2015,Avery.Wash,AW,Heliomeris.multiflora,11,1.2,3
2015,Avery.Wash,AW,Heliomeris.multiflora,12,22.8,57
2015,Avery.Wash,AW,Heliomeris.multiflora,13,54.4,136
2015,Avery.Wash,AW,Heliomeris.multiflora,14,21.2,53
2015,Avery.Wash,AW,Heliomeris.multiflora,15,23.2,58
2015,Avery.Wash,AW,Heliomeris.multiflora,16,12.799999999999999,32
2015,Avery.Wash,AW,Heracleum.sphondylium,9,1.6,4
2015,Avery.Wash,AW,Heracleum.sphondylium,10,3.2,8
2015,Avery.Wash,AW,Hydrophyllum.fendleri,6,1.6,4
2015,Avery.Wash,AW,Hydrophyllum.fendleri,7,77.6,194
2015,Avery.Wash,AW,Hydrophyllum.fendleri,8,62.4,156
2015,Avery.Wash,AW,Hydrophyllum.fendleri,9,32.8,82
2015,Avery.Wash,AW,Hydrophyllum.fendleri,10,4,10
