habitat,site,site.code,year,week,doy,plant.species,transect.section,flw.count.mean,flw.count.sum,flw.count.mean.per.meter
aspen,Avery.Wash,AW,2016,1,114,0,0-20,0,0,0
aspen,Avery.Wash,AW,2016,1,114,0,20-40,0,0,0
aspen,Avery.Wash,AW,2016,1,114,0,40-60,0,0,0
aspen,Avery.Wash,AW,2016,1,114,0,60-80,0,0,0
aspen,Avery.Wash,AW,2016,1,114,0,80-100,0,0,0
aspen,Avery.Wash,AW,2016,2,123,0,0-20,0,0,0
aspen,Avery.Wash,AW,2016,2,123,0,20-40,0,0,0
aspen,Avery.Wash,AW,2016,2,123,0,40-60,0,0,0
aspen,Avery.Wash,AW,2016,2,123,0,60-80,0,0,0
aspen,Avery.Wash,AW,2016,2,123,Claytonia.lanceolata,80-100,1,1,0.1
aspen,Avery.Wash,AW,2016,3,135,0,0-20,0,0,0
aspen,Avery.Wash,AW,2016,3,135,0,20-40,0,0,0
aspen,Avery.Wash,AW,2016,3,135,0,40-60,0,0,0
aspen,Avery.Wash,AW,2016,3,135,0,60-80,0,0,0
aspen,Avery.Wash,AW,2016,3,135,Claytonia.lanceolata,80-100,9,9,0.9
aspen,Avery.Wash,AW,2016,4,146,0,0-20,0,0,0
aspen,Avery.Wash,AW,2016,4,146,0,40-60,0,0,0
aspen,Avery.Wash,AW,2016,4,146,Claytonia.lanceolata,20-40,27,27,2.7
aspen,Avery.Wash,AW,2016,4,146,Claytonia.lanceolata,60-80,72,72,7.2
aspen,Avery.Wash,AW,2016,4,146,Claytonia.lanceolata,80-100,697,697,69.7
aspen,Avery.Wash,AW,2016,5,155,Claytonia.lanceolata,20-40,41,41,4.1
aspen,Avery.Wash,AW,2016,5,155,Claytonia.lanceolata,40-60,5,5,0.5
aspen,Avery.Wash,AW,2016,5,155,Claytonia.lanceolata,60-80,32,32,3.2
aspen,Avery.Wash,AW,2016,5,155,Claytonia.lanceolata,80-100,245,245,24.5
aspen,Avery.Wash,AW,2016,5,155,Mertensia.fusiformis,0-20,11,11,1.1
aspen,Avery.Wash,AW,2016,5,155,Mertensia.fusiformis,20-40,7,7,0.7
aspen,Avery.Wash,AW,2016,5,155,Mertensia.fusiformis,40-60,7,7,0.7
aspen,Avery.Wash,AW,2016,5,155,Mertensia.fusiformis,60-80,12,12,1.2
aspen,Avery.Wash,AW,2016,5,155,Ranunculus.inamoenus,0-20,2,2,0.2
aspen,Avery.Wash,AW,2016,5,155,Ranunculus.inamoenus,20-40,1,1,0.1
aspen,Avery.Wash,AW,2016,6,162,Claytonia.lanceolata,80-100,1,1,0.1
aspen,Avery.Wash,AW,2016,6,162,Mertensia.fusiformis,0-20,16,16,1.6
aspen,Avery.Wash,AW,2016,6,162,Mertensia.fusiformis,20-40,4,4,0.4
aspen,Avery.Wash,AW,2016,6,162,Mertensia.fusiformis,40-60,1,1,0.1
aspen,Avery.Wash,AW,2016,6,162,Mertensia.fusiformis,60-80,2,2,0.2
aspen,Avery.Wash,AW,2016,6,162,Ranunculus.inamoenus,0-20,2,2,0.2
aspen,Avery.Wash,AW,2016,6,162,Ranunculus.inamoenus,20-40,3,3,0.3
aspen,Avery.Wash,AW,2016,6,162,Taraxacum.officinale,0-20,10,10,1
aspen,Avery.Wash,AW,2016,6,162,Valeriana.occidentalis,80-100,1,1,0.1
aspen,Avery.Wash,AW,2016,6,162,Viola.praemorsa,0-20,12,12,1.2
aspen,Avery.Wash,AW,2016,6,162,Viola.praemorsa,20-40,2,2,0.2
aspen,Avery.Wash,AW,2016,6,162,Viola.praemorsa,40-60,5,5,0.5
aspen,Avery.Wash,AW,2016,6,162,Viola.praemorsa,60-80,1,1,0.1
aspen,Avery.Wash,AW,2016,7,167,Hydrophyllum.fendleri,80-100,41,41,4.1
aspen,Avery.Wash,AW,2016,7,167,Mertensia.fusiformis,0-20,7,7,0.7
aspen,Avery.Wash,AW,2016,7,167,Mertensia.fusiformis,60-80,1,1,0.1
aspen,Avery.Wash,AW,2016,7,167,Ranunculus.inamoenus,20-40,1,1,0.1
aspen,Avery.Wash,AW,2016,7,167,Taraxacum.officinale,0-20,11,11,1.1
aspen,Avery.Wash,AW,2016,7,167,Taraxacum.officinale,40-60,1,1,0.1
aspen,Avery.Wash,AW,2016,7,167,Viola.praemorsa,0-20,6,6,0.6
aspen,Avery.Wash,AW,2016,7,167,Viola.praemorsa,40-60,4,4,0.4
aspen,Avery.Wash,AW,2016,8,175,Dugaldia.hoopesii,0-20,4,4,0.4
aspen,Avery.Wash,AW,2016,8,175,Fragaria.virginiana,0-20,2,2,0.2
aspen,Avery.Wash,AW,2016,8,175,Geranium.richardsonii,20-40,1,1,0.1
aspen,Avery.Wash,AW,2016,8,175,Geranium.richardsonii,60-80,3,3,0.3
aspen,Avery.Wash,AW,2016,8,175,Geranium.richardsonii,80-100,3,3,0.3
aspen,Avery.Wash,AW,2016,8,175,Hydrophyllum.fendleri,20-40,19,19,1.9
aspen,Avery.Wash,AW,2016,8,175,Hydrophyllum.fendleri,40-60,14,14,1.4
aspen,Avery.Wash,AW,2016,8,175,Hydrophyllum.fendleri,60-80,37,37,3.7
aspen,Avery.Wash,AW,2016,8,175,Hydrophyllum.fendleri,80-100,72,72,7.2
aspen,Avery.Wash,AW,2016,8,175,Lathyrus.leucanthus,20-40,1,1,0.1
aspen,Avery.Wash,AW,2016,8,175,Ligusticum.porteri,0-20,2,2,0.2
aspen,Avery.Wash,AW,2016,8,175,Ligusticum.porteri,20-40,4,4,0.4
aspen,Avery.Wash,AW,2016,8,175,Ligusticum.porteri,40-60,3,3,0.3
aspen,Avery.Wash,AW,2016,8,175,Ligusticum.porteri,60-80,1,1,0.1
aspen,Avery.Wash,AW,2016,8,175,Ligusticum.porteri,80-100,3,3,0.3
aspen,Avery.Wash,AW,2016,8,175,Potentilla.pulcherrima,0-20,3,3,0.3
aspen,Avery.Wash,AW,2016,8,175,Taraxacum.officinale,0-20,7,7,0.7
aspen,Avery.Wash,AW,2016,8,175,Taraxacum.officinale,40-60,6,6,0.6
aspen,Avery.Wash,AW,2016,8,175,Valeriana.occidentalis,80-100,1,1,0.1
aspen,Avery.Wash,AW,2016,9,181,Aquilegia.coerulea,20-40,1,1,0.1
aspen,Avery.Wash,AW,2016,9,181,Aquilegia.coerulea,40-60,4,4,0.4
aspen,Avery.Wash,AW,2016,9,181,Dugaldia.hoopesii,0-20,3,3,0.3
aspen,Avery.Wash,AW,2016,9,181,Geranium.richardsonii,0-20,4,4,0.4
aspen,Avery.Wash,AW,2016,9,181,Geranium.richardsonii,20-40,14,14,1.4
aspen,Avery.Wash,AW,2016,9,181,Geranium.richardsonii,60-80,8,8,0.8
aspen,Avery.Wash,AW,2016,9,181,Hydrophyllum.fendleri,0-20,4,4,0.4
aspen,Avery.Wash,AW,2016,9,181,Hydrophyllum.fendleri,20-40,4,4,0.4
aspen,Avery.Wash,AW,2016,9,181,Hydrophyllum.fendleri,40-60,22,22,2.2
aspen,Avery.Wash,AW,2016,9,181,Hydrophyllum.fendleri,60-80,31,31,3.1
aspen,Avery.Wash,AW,2016,9,181,Hydrophyllum.fendleri,80-100,59,59,5.9
aspen,Avery.Wash,AW,2016,9,181,Lathyrus.leucanthus,0-20,21,21,2.1
aspen,Avery.Wash,AW,2016,9,181,Lathyrus.leucanthus,20-40,7,7,0.7
