site.code,year,week,species,plant.species,n_interactions,total_minutes,interaction_rate
AW,2015,2,bifarius,Mertensia.fusiformis,1,80,0.0125
AW,2015,3,bifarius,Mertensia.fusiformis,1,60,0.016666666666666666
AW,2015,4,bifarius,Mertensia.fusiformis,2,60,0.03333333333333333
AW,2015,5,bifarius,Mertensia.fusiformis,1,60,0.016666666666666666
AW,2015,5,flavifrons,Mertensia.fusiformis,2,60,0.03333333333333333
AW,2015,6,appositus,Delphinium.nuttallianum,5,90,0.05555555555555555
AW,2015,6,flavifrons,Delphinium.nuttallianum,7,90,0.07777777777777778
AW,2015,6,flavifrons,Distegia.involucrata,1,90,0.011111111111111112
AW,2015,6,flavifrons,Hydrophyllum.fendleri,6,90,0.06666666666666667
AW,2015,7,appositus,Lathyrus.leucanthus,1,60,0.016666666666666666
AW,2015,7,flavifrons,Delphinium.nuttallianum,1,60,0.016666666666666666
AW,2015,7,flavifrons,Hydrophyllum.fendleri,2,60,0.03333333333333333
AW,2015,7,flavifrons,Mertensia.ciliata,1,60,0.016666666666666666
AW,2015,7,nevadensis,Hydrophyllum.fendleri,1,60,0.016666666666666666
AW,2015,8,appositus,Aquilegia.coerulea,1,60,0.016666666666666666
AW,2015,8,appositus,Delphinium.nuttallianum,1,60,0.016666666666666666
AW,2015,8,appositus,Hydrophyllum.fendleri,1,60,0.016666666666666666
AW,2015,8,appositus,Lathyrus.leucanthus,2,60,0.03333333333333333
AW,2015,8,appositus,Vicia.americana,4,60,0.06666666666666667
AW,2015,8,flavifrons,Hydrophyllum.fendleri,2,60,0.03333333333333333
AW,2015,8,flavifrons,Mertensia.ciliata,1,60,0.016666666666666666
AW,2015,8,rufocinctus,Hydrophyllum.fendleri,1,60,0.016666666666666666
AW,2015,9,appositus,Delphinium.barbeyi,3,60,0.05
AW,2015,9,appositus,Hydrophyllum.fendleri,1,60,0.016666666666666666
AW,2015,9,appositus,Vicia.americana,5,60,0.08333333333333333
AW,2015,9,bifarius,Helianthella.quinquenervis,2,60,0.03333333333333333
AW,2015,9,flavifrons,Delphinium.barbeyi,1,60,0.016666666666666666
AW,2015,9,flavifrons,Helianthella.quinquenervis,11,60,0.18333333333333332
AW,2015,9,flavifrons,Mertensia.ciliata,3,60,0.05
AW,2015,9,flavifrons,Vicia.americana,5,60,0.08333333333333333
AW,2015,9,mixtus,Helianthella.quinquenervis,3,60,0.05
AW,2015,9,mixtus,Hydrophyllum.fendleri,1,60,0.016666666666666666
AW,2015,9,rufocinctus,Dugaldia.hoopesii,1,60,0.016666666666666666
AW,2015,10,appositus,Delphinium.barbeyi,2,60,0.03333333333333333
AW,2015,10,appositus,Vicia.americana,7,60,0.11666666666666667
AW,2015,10,californicus,Vicia.americana,1,60,0.016666666666666666
AW,2015,10,flavifrons,Aconitum.columbianum,1,60,0.016666666666666666
AW,2015,10,flavifrons,Delphinium.barbeyi,1,60,0.016666666666666666
AW,2015,10,flavifrons,Helianthella.quinquenervis,1,60,0.016666666666666666
AW,2015,10,flavifrons,Hydrophyllum.fendleri,3,60,0.05
AW,2015,10,flavifrons,Vicia.americana,3,60,0.05
AW,2015,10,mixtus,Dugaldia.hoopesii,1,60,0.016666666666666666
AW,2015,10,mixtus,Erigeron.elatior,1,60,0.016666666666666666
AW,2015,10,mixtus,Helianthella.quinquenervis,1,60,0.016666666666666666
AW,2015,11,appositus,Delphinium.barbeyi,7,60,0.11666666666666667
AW,2015,11,appositus,Vicia.americana,4,60,0.06666666666666667
AW,2015,11,bifarius,Dugaldia.hoopesii,5,60,0.08333333333333333
AW,2015,11,bifarius,Erigeron.elatior,5,60,0.08333333333333333
AW,2015,11,bifarius,Helianthella.quinquenervis,1,60,0.016666666666666666
AW,2015,11,bifarius,Heterotheca.villosa,2,60,0.03333333333333333
AW,2015,11,bifarius,Ligularia.bigelovii,7,60,0.11666666666666667
AW,2015,11,flavifrons,Aconitum.columbianum,2,60,0.03333333333333333
AW,2015,11,flavifrons,Cirsium.parryi,4,60,0.06666666666666667
AW,2015,11,flavifrons,Delphinium.barbeyi,16,60,0.26666666666666666
AW,2015,11,flavifrons,Helianthella.quinquenervis,1,60,0.016666666666666666
AW,2015,11,flavifrons,Ligularia.bigelovii,3,60,0.05
AW,2015,11,flavifrons,Solidago.multiradiata,1,60,0.016666666666666666
AW,2015,11,flavifrons,Vicia.americana,1,60,0.016666666666666666
AW,2015,11,mixtus,Erigeron.elatior,2,60,0.03333333333333333
AW,2015,11,mixtus,Helianthella.quinquenervis,1,60,0.016666666666666666
AW,2015,11,mixtus,Ligularia.bigelovii,9,60,0.15
AW,2015,11,mixtus,Solidago.multiradiata,1,60,0.016666666666666666
AW,2015,11,rufocinctus,Erigeron.elatior,1,60,0.016666666666666666
AW,2015,11,rufocinctus,Ligularia.bigelovii,1,60,0.016666666666666666
AW,2015,12,appositus,Delphinium.barbeyi,21,60,0.35
AW,2015,12,appositus,Erigeron.elatior,1,60,0.016666666666666666
