year,week,n_bee,n_plant,S,S_eff,Omega,omega
2015,1,1,1,2,2,0.5,0.7071067811865476
2015,2,1,3,4,2,0.5,0.7071067811865476
2015,3,2,6,8,4,0.5,0.8408964152537145
2015,4,6,5,11,11,0.499999999733031,0.9389309106161308
2015,5,7,7,14,13,0.5,0.9480775143391714
2015,6,7,13,20,16,0.4999999432061589,0.9576032739003272
2015,7,8,9,17,17,0.5,0.9600466868547932
2015,8,7,12,19,19,0.49999855011438393,0.9641758507901971
2015,9,8,13,21,19,0.49999999999991934,0.9641759979424869
2015,10,9,22,31,25,0.19732803998537157,0.937146639270073
2015,11,7,21,28,23,0.49999045675897913,0.9703119475312769
2015,12,7,23,30,21,0.499999999539571,0.967531778481465
2015,13,9,19,28,25,0.49999935291747544,0.9726548970612128
2015,14,6,17,23,16,0.4999999089709179,0.9576032698023542
2015,15,5,9,14,14,0.4999953941054089,0.9516945268068617
2015,16,6,7,13,9,0.4999991847616475,0.92587454455193
2016,3,1,4,5,2,0.5,0.7071067811865476
2016,4,2,5,7,4,0.5,0.8408964152537145
2016,5,3,5,8,6,0.5,0.8908987181403393
2016,6,6,11,17,13,0.4999999988994003,0.9480775141786401
2016,7,7,11,18,17,0.499999607831301,0.9600466425606287
2016,8,9,11,20,16,0.5,0.9576032806985737
2016,9,8,12,20,17,0.5,0.9600466868547932
2016,10,9,12,21,17,0.49999999999924305,0.9600466868547077
2016,11,7,21,28,17,0.49999999933996,0.9600466867802439
2016,12,9,23,32,22,0.5,0.9689844739012624
2016,13,9,19,28,21,0.49999767480458507,0.967531564266231
2016,14,9,17,26,18,0.499999512113093,0.9622237847322976
2016,15,8,21,29,23,0.19429833496238122,0.9312448263772788
2016,16,8,10,18,16,0.5,0.9576032806985737
2016,17,7,7,14,12,0.21265140678044403,0.8789665644818461
2016,18,3,2,5,5,0.5,0.8705505632961241
2017,1,1,2,3,2,0.5,0.7071067811865476
2017,2,3,4,7,4,0.5,0.8408964152537145
2017,3,4,3,7,6,0.5,0.8908987181403393
2017,4,5,6,11,11,0.49999784126462044,0.9389305421330966
2017,5,6,7,13,13,0.5,0.9480775143391714
2017,6,9,10,19,17,0.5,0.9600466868547932
2017,7,8,15,23,20,0.4999999999999984,0.9659363289248454
2017,8,8,23,31,23,0.49999865745003214,0.9703126394719697
2017,9,9,27,36,23,0.20333963847897804,0.9330882008635958
2017,10,9,27,36,24,0.49999913311072214,0.971531870969329
2017,11,7,31,38,25,0.4999954913580268,0.9726545965825333
2017,12,8,23,31,27,0.4999891765990521,0.9746538277011296
2017,13,8,19,27,20,0.4999969239325659,0.9659360317954487
2017,14,8,15,23,19,0.499999749321616,0.9641759725005857
2017,15,8,9,17,14,0.5,0.9516951530106196
2017,16,3,4,7,4,0.5,0.8408964152537145
2018,1,1,1,2,2,0.5,0.7071067811865476
2018,2,1,1,2,2,0.5,0.7071067811865476
2018,3,2,2,4,4,0.5,0.8408964152537145
2018,4,3,4,7,6,0.5,0.8908987181403393
2018,5,4,4,8,8,0.4999999999889984,0.9170040432021491
2018,6,5,8,13,10,0.4999999999992917,0.9330329915366752
2018,7,6,5,11,9,0.5,0.9258747122872905
2018,8,8,10,18,17,0.49999450626777087,0.960046066352829
2018,9,7,14,21,16,0.4999916289591811,0.957602278673691
2018,10,7,15,22,17,0.4999864757162333,0.9600451593125469
2018,11,8,21,29,19,0.2052385270533253,0.9200323526208295
2018,12,9,26,35,24,0.20166279600574788,0.9354618360919521
2018,13,8,21,29,21,0.4999916126408185,0.9675310056570946
2018,14,8,23,31,24,0.4999993647568292,0.9715318897236553
2018,15,8,19,27,21,0.4999996419580531,0.9675317455317888
2018,16,7,8,15,12,0.49999988021982544,0.9438742938387864
2018,17,5,8,13,11,0.5,0.9389309106617063
2018,18,6,3,9,6,0.5,0.8908987181403393
2018,19,2,1,3,2,0.5,0.7071067811865476
2018,20,1,1,2,2,0.5,0.7071067811865476
2019,2,3,3,6,6,0.5,0.8908987181403393
2019,3,5,3,8,6,0.5,0.8908987181403393
2019,4,5,5,10,10,0.2171947215653238,0.8583905476305143
2019,5,5,6,11,11,0.21512998959732466,0.869633879023052
2019,6,6,7,13,13,0.4999899812717632,0.9480760530132011
2019,7,7,7,14,12,0.4999999999194933,0.9438743126690288
2019,8,9,11,20,17,0.4999889159645064,0.9600454349368446
2019,9,8,19,27,20,0.5,0.9659363289248456
2019,10,9,24,33,25,0.4999999999999999,0.9726549474122855
2019,11,9,31,40,25,0.49997900037628373,0.9726533133483111
2019,12,9,26,35,24,0.4999838478878077,0.9715306334422875
2019,13,9,24,33,24,0.4999999982181165,0.9715319410093428
2019,14,8,15,23,19,0.49999653710291403,0.9641756464842628
2019,15,7,10,17,15,0.5,0.9548416039104165
2019,16,5,8,13,10,0.5,0.9330329915368074
2019,17,4,2,6,4,0.5,0.8408964152537145
2019,18,2,1,3,2,0.5,0.7071067811865476
2020,2,3,2,5,4,0.5,0.8408964152537145
2020,3,5,7,12,11,0.5,0.9389309106617063
2020,4,8,9,17,14,0.499963510113063,0.9516901918070101
2020,5,7,10,17,13,0.49999999999663114,0.94807751433868
2020,6,8,12,20,17,0.49999924067038803,0.9600466010909816
2020,7,8,14,22,18,0.49999999998480166,0.9622238368925202
2020,8,8,19,27,18,0.49999938593536347,0.9622237712421481
2020,9,8,16,24,17,0.49999374381404316,0.9600459802352678
