site,year,week,n_bee,n_plant,S,S_eff,Omega,omega
AW,2015,2,1,1,2,2,0.5,0.7071067811865476
AW,2015,3,1,1,2,2,0.5,0.7071067811865476
AW,2015,4,1,1,2,2,0.5,0.7071067811865476
AW,2015,5,2,1,3,3,0.5,0.7937005259840998
AW,2015,6,2,3,5,5,0.5,0.8705505632961241
AW,2015,7,3,4,7,7,0.21473656093571883,0.8027087536968408
AW,2015,8,3,6,9,9,0.4999996895528311,0.9258746484127877
AW,2015,9,5,6,11,11,0.16976767369741694,0.8511122042089541
AW,2015,10,4,7,11,11,0.4999453817721421,0.9389215860637178
AW,2015,11,5,10,15,15,0.49999927843176606,0.9548415120459054
AW,2015,12,5,10,15,15,0.4999603006710503,0.9548365495136777
AW,2015,13,6,9,15,15,0.4999872748725853,0.9548399838270323
AW,2015,14,6,6,12,12,0.49999776191124046,0.94387396060188955
AW,2015,15,4,4,8,8,0.4999900917933627,0.9170017717185913
AW,2016,3,1,1,2,2,0.5,0.7071067811865476
AW,2016,4,1,2,3,3,0.5,0.7937005259840998
AW,2016,5,1,3,4,4,0.5,0.8408964152537145
AW,2016,6,1,1,2,2,0.5,0.7071067811865476
AW,2016,7,3,3,6,6,0.5,0.8908987181403393
AW,2016,8,5,6,11,11,0.49999922541540526,0.9389307784286279
AW,2016,9,5,6,11,11,0.4999999832046871,0.9389309077944993
AW,2016,10,3,5,8,8,0.4999998964604493,0.9170040194681224
AW,2016,11,4,9,13,13,0.17424659866736925,0.8742346664705455
AW,2016,12,5,12,17,17,0.49999872357594144,0.9600465426867744
AW,2016,13,4,7,11,11,0.49999279814508535,0.9389296811910762
AW,2016,14,4,7,11,11,0.49999488009170123,0.9389300366139725
AW,2016,15,4,7,11,11,0.4999835747880349,0.9389281065945215
AW,2016,16,5,5,10,10,0.15624740262706066,0.8305796392670396
AW,2016,17,2,2,4,4,0.25,0.7071067811865476
AW,2017,4,2,1,3,3,0.5,0.7937005259840998
AW,2017,5,3,2,5,5,0.17729128909206734,0.7075179777069552
AW,2017,6,3,3,6,6,0.5,0.8908987181403393
AW,2017,7,6,6,12,12,0.21767730517841827,0.880679247556373
AW,2017,8,4,7,11,11,0.4999663171864154,0.9389251603338371
AW,2017,9,6,9,15,15,0.0425621668336047,0.8102174303118813
AW,2017,10,5,10,15,15,0.49999976937587304,0.9548415745491421
AW,2017,11,4,13,17,17,0.4999291956772112,0.9600386892094092
AW,2017,12,6,8,14,14,0.16126045780430423,0.8777985298983552
AW,2017,13,4,6,10,10,0.49999999849432897,0.9330329912558393
AW,2017,14,5,3,8,8,0.5,0.9170040432046712
AW,2017,15,4,3,7,7,0.18339826744366006,0.7848212379889214
AW,2018,2,1,1,2,2,0.5,0.7071067811865476
AW,2018,3,1,1,2,2,0.5,0.7071067811865476
AW,2018,4,2,2,4,4,0.5,0.8408964152537145
AW,2018,5,2,1,3,3,0.5,0.7937005259840998
AW,2018,6,1,1,2,2,0.5,0.7071067811865476
AW,2018,7,3,4,7,7,0.49999942293081434,0.9057235149309135
AW,2018,8,4,4,8,8,0.5,0.9170040432046712
AW,2018,9,6,7,13,13,0.499996759718384,0.9480770417165055
AW,2018,10,5,7,12,12,0.4999991825449026,0.9438741840857857
AW,2018,11,4,7,11,11,0.4999999867432937,0.9389309083985915
AW,2018,12,5,13,18,18,0.10932457682837105,0.8842914656004817
AW,2018,13,4,12,16,16,0.49998369478353655,0.9576013289276412
AW,2018,14,7,11,18,18,0.49998320808810637,0.9622220415792406
AW,2018,15,5,5,10,10,0.1659001298059558,0.8355735280803985
AW,2018,16,2,2,4,4,0.5,0.8408964152537145
AW,2018,17,3,4,7,7,0.49999999999999994,0.9057236642639067
AW,2019,3,1,2,3,3,0.5,0.7937005259840998
AW,2019,4,2,2,4,4,0.25,0.7071067811865476
AW,2019,5,2,4,6,6,0.21601420029128654,0.774605156276237
AW,2019,6,2,2,4,4,0.5,0.8408964152537145
AW,2019,7,3,2,5,5,0.5,0.8705505632961241
AW,2019,8,4,5,9,9,0.49999622713062125,0.9258739360170536
AW,2019,9,3,9,12,12,0.4999990024742484,0.9438741557583945
AW,2019,10,4,9,13,13,0.49999335535149303,0.9480765451575592
AW,2019,11,5,15,20,20,0.4999737305821336,0.965933791403013
AW,2019,12,5,11,16,16,0.4999857842139109,0.9576015790404705
AW,2019,13,6,11,17,17,0.4999436683241989,0.9600403240422993
AW,2019,14,6,9,15,15,0.03691791141875647,0.8025691741083835
AW,2019,15,5,4,9,9,0.4999787149045541,0.9258703327974024
AW,2019,16,3,2,5,5,0.18700177209928526,0.7151038964379486
AW,2019,17,1,1,2,2,0.5,0.7071067811865476
AW,2020,2,1,1,2,2,0.5,0.7071067811865476
AW,2020,3,3,2,5,5,0.5,0.8705505632961241
AW,2020,4,2,2,4,4,0.5,0.8408964152537145
AW,2020,5,4,4,8,8,0.20495562093094666,0.8202712294299248
AW,2020,6,6,3,9,9,0.5,0.9258747122872905
AW,2020,7,4,6,10,10,0.49998740966946176,0.9330306420714315
AW,2020,8,2,9,11,11,0.5,0.9389309106617063
AW,2020,9,4,7,11,11,0.06278569274438105,0.7775254409379583
AW,2020,10,5,7,12,12,0.0339142909892012,0.7542787890770798
AW,2020,11,5,6,11,11,0.05053018659662757,0.7623264545539034
AW,2020,12,4,4,8,8,0.09422750014193677,0.7443414577799867
AW,2020,13,1,1,2,2,0.5,0.7071067811865476
AW,2020,14,4,2,6,6,0.5,0.8908987181403393
AW,2020,15,3,3,6,6,0.5,0.8908987181403393
AW,2020,16,2,2,4,4,0.5,0.8408964152537145
AW,2021,4,1,1,2,2,0.5,0.7071067811865476
AW,2021,5,1,2,3,3,0.5,0.7937005259840998
AW,2021,6,1,2,3,3,0.5,0.7937005259840998
AW,2021,7,2,3,5,5,0.2192379493249836,0.738215477192704
AW,2021,8,5,5,10,10,0.16615138451682238,0.8356999890075566
AW,2021,9,3,6,9,9,0.16594037112278612,0.8190831773954329
AW,2021,10,5,10,15,15,0.4999719862223061,0.9548380373211063
AW,2021,11,7,13,20,20,0.05616903419797115,0.8659141724620831
AW,2021,12,6,13,19,19,0.15850550583642475,0.9076054000604088
AW,2021,13,6,14,20,20,0.49998406278870844,0.9659347894684007
AW,2021,14,6,15,21,21,0.4999883882469754,0.9675307085368154
AW,2021,15,8,13,21,21,0.4999660825528772,0.9675286530697941
AW,2021,16,8,9,17,17,0.49997473756075556,0.960043833478585
AW,2021,17,8,4,12,12,0.08167739937515414,0.8115996014737579
AW,2021,18,8,6,14,14,0.08673794756457767,0.839765049898982
AW,2021,19,7,4,11,11,0.18289650016587264,0.8568953047754726
AW,2021,20,3,2,5,5,0.19859420157578514,0.7237578927077094
