site,site.code,year,date,doy,week,observer,obs.start,obs.end,tot.obs.length,weather,habitat,habitat.code,no.bees,genus,species,caste,behaviour,plant.species,resource.coll,pollen.load,pollen.collected,mark.recapture,notes,nest.search.fl.abun,nest.search.substrate,fl.switch.1,fl.switch.1.resource.coll,fl.switch.2,fl.switch.2.resource.coll,fl.switch.3,fl.switch.3.resource.coll,fl.switch.4,fl.switch.4.resource.coll
Avery.Wash,AW,2015,13-May-15,133,1,JEO,11:45:00,12:30:00,45,clear.warm,dry,d,1,Bombus,unknown,q,ns,NA,NA,NA,NA,NA,NA,NA,ground,NA,NA,NA,NA,NA,NA,NA,NA
Avery.Wash,AW,2015,13-May-15,133,1,JEO,11:45:00,12:30:00,45,clear.warm,dry,d,1,Bombus,unknown,q,ns,NA,NA,NA,NA,NA,NA,NA,ground,NA,NA,NA,NA,NA,NA,NA,NA
Avery.Wash,AW,2015,13-May-15,133,1,JEO,11:45:00,12:30:00,45,clear.warm,dry,d,1,Bombus,unknown,q,ns,NA,NA,NA,NA,NA,NA,NA,ground,NA,NA,NA,NA,NA,NA,NA,NA
Avery.Wash,AW,2015,13-May-15,133,1,JEO,11:45:00,12:30:00,45,clear.warm,dry,d,1,Bombus,unknown,q,ns,NA,NA,NA,NA,NA,NA,NA,ground,NA,NA,NA,NA,NA,NA,NA,NA
Avery.Wash,AW,2015,13-May-15,133,1,JEO,11:45:00,12:30:00,45,clear.warm,dry,d,1,Bombus,bifarius,q,ns,NA,NA,NA,NA,NA,NA,NA,ground,NA,NA,NA,NA,NA,NA,NA,NA
Avery.Wash,AW,2015,13-May-15,133,1,JEO,11:45:00,12:30:00,45,clear.warm,wet,w,1,Bombus,bifarius,q,ns,NA,NA,NA,NA,NA,NA,NA,ground,NA,NA,NA,NA,NA,NA,NA,NA
Avery.Wash,AW,2015,21-May-15,141,2,JEO,13:35:00,14:55:00,80,cloudy.warm,aspen,a,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,nectar,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avery.Wash,AW,2015,21-May-15,141,2,JEO,13:35:00,14:55:00,80,cloudy.warm,aspen,a,1,Bombus,unknown,q,ft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avery.Wash,AW,2015,21-May-15,141,2,JEO,13:35:00,14:55:00,80,cloudy.warm,dry,d,1,Bombus,bifarius,q,ns,NA,NA,NA,NA,NA,NA,NA,ground,NA,NA,NA,NA,NA,NA,NA,NA
Avery.Wash,AW,2015,21-May-15,141,2,JEO,13:35:00,14:55:00,80,cloudy.warm,dry,d,1,Bombus,bifarius,q,ns,NA,NA,NA,NA,NA,NA,NA,ground,NA,NA,NA,NA,NA,NA,NA,NA
Avery.Wash,AW,2015,21-May-15,141,2,JEO,13:35:00,14:55:00,80,cloudy.warm,dry,d,1,Bombus,unknown,q,ns,NA,NA,NA,NA,NA,NA,NA,ground,NA,NA,NA,NA,NA,NA,NA,NA
Avery.Wash,AW,2015,21-May-15,141,2,JEO,13:35:00,14:55:00,80,cloudy.warm,dry,d,1,Bombus,unknown,q,ns,NA,NA,NA,NA,NA,NA,NA,ground,NA,NA,NA,NA,NA,NA,NA,NA
Avery.Wash,AW,2015,21-May-15,141,2,JEO,13:35:00,14:55:00,80,cloudy.warm,wet,w,1,Bombus,unknown,q,ft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avery.Wash,AW,2015,21-May-15,141,2,JEO,13:35:00,14:55:00,80,cloudy.warm,wet,w,1,Bombus,unknown,q,ft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avery.Wash,AW,2015,21-May-15,141,2,JEO,13:35:00,14:55:00,80,cloudy.warm,wet,w,1,Bombus,unknown,q,ft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avery.Wash,AW,2015,21-May-15,141,2,JEO,13:35:00,14:55:00,80,cloudy.warm,wet,w,1,Bombus,unknown,q,ns,NA,NA,NA,NA,NA,NA,NA,ground,NA,NA,NA,NA,NA,NA,NA,NA
Avery.Wash,AW,2015,21-May-15,141,2,JEO,13:35:00,14:55:00,80,cloudy.warm,wet,w,1,Bombus,bifarius,q,ns,NA,NA,NA,NA,NA,NA,NA,ground,NA,NA,NA,NA,NA,NA,NA,NA
Avery.Wash,AW,2015,21-May-15,141,2,JEO,13:35:00,14:55:00,80,cloudy.warm,wet,w,1,Bombus,bifarius,q,ns,NA,NA,NA,NA,NA,NA,NA,ground,NA,NA,NA,NA,NA,NA,NA,NA
Avery.Wash,AW,2015,21-May-15,141,2,JEO,13:35:00,14:55:00,80,cloudy.warm,wet,w,1,Bombus,bifarius,q,ns,NA,NA,NA,NA,NA,NA,NA,ground,NA,NA,NA,NA,NA,NA,NA,NA
Avery.Wash,AW,2015,21-May-15,141,2,JEO,13:35:00,14:55:00,80,cloudy.warm,wet,w,1,Bombus,bifarius,q,ns,NA,NA,NA,NA,NA,NA,NA,ground,NA,NA,NA,NA,NA,NA,NA,NA
