site,site.code,year,date,doy,week,observer,habitat,habitat.code,transect.section,habitat.tsection,plant.species,flower.count,notes
Avery.Wash,AW,2015,13-May-15,133,1,AJC+JEO,aspen,a,0to5,a-0to5,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,13-May-15,133,1,AJC+JEO,aspen,a,5to10,a-5to10,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,13-May-15,133,1,AJC+JEO,aspen,a,10to15,a-10to15,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,13-May-15,133,1,AJC+JEO,aspen,a,15to20,a-15to20,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,13-May-15,133,1,AJC+JEO,aspen,a,20to25,a-20to25,Claytonia.lanceolata,10,NA
Avery.Wash,AW,2015,13-May-15,133,1,AJC+JEO,aspen,a,25to30,a-25to30,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,13-May-15,133,1,AJC+JEO,aspen,a,30to35,a-30to35,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,13-May-15,133,1,AJC+JEO,aspen,a,35to40,a-35to40,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,13-May-15,133,1,AJC+JEO,dry,d,0to5,d-0to5,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,13-May-15,133,1,AJC+JEO,dry,d,5to10,d-5to10,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,13-May-15,133,1,AJC+JEO,dry,d,10to15,d-10to15,Claytonia.lanceolata,4,NA
Avery.Wash,AW,2015,13-May-15,133,1,AJC+JEO,dry,d,15to20,d-15to20,Claytonia.lanceolata,10,NA
Avery.Wash,AW,2015,13-May-15,133,1,AJC+JEO,dry,d,20to25,d-20to25,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,13-May-15,133,1,AJC+JEO,dry,d,25to30,d-25to30,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,13-May-15,133,1,AJC+JEO,dry,d,30to35,d-30to35,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,13-May-15,133,1,AJC+JEO,dry,d,35to40,d-35to40,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,13-May-15,133,1,AJC+JEO,wet,w,0to5,w-0to5,Claytonia.lanceolata,2,NA
Avery.Wash,AW,2015,13-May-15,133,1,AJC+JEO,wet,w,5to10,w-5to10,Claytonia.lanceolata,1,NA
Avery.Wash,AW,2015,13-May-15,133,1,AJC+JEO,wet,w,10to15,w-10to15,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,13-May-15,133,1,AJC+JEO,wet,w,15to20,w-15to20,Claytonia.lanceolata,6,NA
Avery.Wash,AW,2015,13-May-15,133,1,AJC+JEO,wet,w,20to25,w-20to25,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,13-May-15,133,1,AJC+JEO,wet,w,25to30,w-25to30,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,13-May-15,133,1,AJC+JEO,wet,w,30to35,w-30to35,Claytonia.lanceolata,2,NA
Avery.Wash,AW,2015,13-May-15,133,1,AJC+JEO,wet,w,35to40,w-35to40,Claytonia.lanceolata,8,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,aspen,a,0to5,a-0to5,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,aspen,a,0to5,a-0to5,Mertensia.fusiformis,0,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,aspen,a,5to10,a-5to10,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,aspen,a,5to10,a-5to10,Mertensia.fusiformis,0,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,aspen,a,10to15,a-10to15,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,aspen,a,10to15,a-10to15,Mertensia.fusiformis,0,NA
