site,site.code,year,date,doy,week,observer,habitat,habitat.code,transect.section,habitat.tsection,plant.species,flower.count,notes,transect.snow.cover
Avery.Wash,AW,2016,23-Apr-16,114,1,JEO,aspen,a,0-20,a-0-20,0,0,NA,snow
Avery.Wash,AW,2016,23-Apr-16,114,1,JEO,aspen,a,20-40,a-20-40,0,0,NA,snow
Avery.Wash,AW,2016,23-Apr-16,114,1,JEO,aspen,a,40-60,a-40-60,0,0,NA,snow
Avery.Wash,AW,2016,23-Apr-16,114,1,JEO,aspen,a,60-80,a-60-80,0,0,NA,snow
Avery.Wash,AW,2016,23-Apr-16,114,1,JEO,aspen,a,80-100,a-80-100,0,0,NA,snow
Avery.Wash,AW,2016,23-Apr-16,114,1,JEO,dry,d,0-20,d-0-20,0,0,NA,snow
Avery.Wash,AW,2016,23-Apr-16,114,1,JEO,dry,d,20-40,d-20-40,0,0,NA,snow
Avery.Wash,AW,2016,23-Apr-16,114,1,JEO,dry,d,40-60,d-40-60,0,0,NA,snow
Avery.Wash,AW,2016,23-Apr-16,114,1,JEO,dry,d,60-80,d-60-80,0,0,NA,snow
Avery.Wash,AW,2016,23-Apr-16,114,1,JEO,dry,d,80-100,d-80-100,0,0,NA,snow
Avery.Wash,AW,2016,23-Apr-16,114,1,JEO,wet,w,0-20,w-0-20,0,0,NA,snow
Avery.Wash,AW,2016,23-Apr-16,114,1,JEO,wet,w,20-40,w-20-40,0,0,NA,snow
Avery.Wash,AW,2016,23-Apr-16,114,1,JEO,wet,w,40-60,w-40-60,0,0,NA,snow
Avery.Wash,AW,2016,23-Apr-16,114,1,JEO,wet,w,60-80,w-60-80,0,0,NA,snow
Avery.Wash,AW,2016,23-Apr-16,114,1,JEO,wet,w,80-100,w-80-100,0,0,NA,snow
Avery.Wash,AW,2016,2-May-16,123,2,JEO,aspen,a,0-20,a-0-20,0,0,estimate,snow
Avery.Wash,AW,2016,2-May-16,123,2,JEO,aspen,a,20-40,a-20-40,0,0,estimate,snow
Avery.Wash,AW,2016,2-May-16,123,2,JEO,aspen,a,40-60,a-40-60,0,0,estimate,snow
Avery.Wash,AW,2016,2-May-16,123,2,JEO,aspen,a,60-80,a-60-80,0,0,estimate,snow
Avery.Wash,AW,2016,2-May-16,123,2,JEO,aspen,a,80-100,a-80-100,Claytonia.lanceolata,1,estimate,bare
Avery.Wash,AW,2016,2-May-16,123,2,JEO,dry,d,0-20,d-0-20,0,0,estimate,snow
Avery.Wash,AW,2016,2-May-16,123,2,JEO,dry,d,20-40,d-20-40,0,0,estimate,snow
Avery.Wash,AW,2016,2-May-16,123,2,JEO,dry,d,40-60,d-40-60,0,0,estimate,snow
Avery.Wash,AW,2016,2-May-16,123,2,JEO,dry,d,60-80,d-60-80,0,0,estimate,snow
Avery.Wash,AW,2016,2-May-16,123,2,JEO,dry,d,80-100,d-80-100,Mertensia.fusiformis,6,estimate,bare
Avery.Wash,AW,2016,2-May-16,123,2,JEO,wet,w,0-20,w-0-20,0,0,estimate,snow
Avery.Wash,AW,2016,2-May-16,123,2,JEO,wet,w,20-40,w-20-40,0,0,estimate,snow
Avery.Wash,AW,2016,2-May-16,123,2,JEO,wet,w,40-60,w-40-60,0,0,estimate,snow
Avery.Wash,AW,2016,2-May-16,123,2,JEO,wet,w,60-80,w-60-80,0,0,estimate,snow
Avery.Wash,AW,2016,2-May-16,123,2,JEO,wet,w,80-100,w-80-100,0,0,estimate,snow
Avery.Wash,AW,2016,2-May-16,123,2,JEO,wet,w,80-100,w-80-100,0,0,estimate,snow
Avery.Wash,AW,2016,14-May-16,135,3,JEO,aspen,a,0-20,a-0-20,0,0,NA,snow
Avery.Wash,AW,2016,14-May-16,135,3,JEO,aspen,a,20-40,a-20-40,0,0,NA,snow
Avery.Wash,AW,2016,14-May-16,135,3,JEO,aspen,a,40-60,a-40-60,0,0,NA,snow
Avery.Wash,AW,2016,14-May-16,135,3,JEO,aspen,a,60-80,a-60-80,0,0,NA,snow
Avery.Wash,AW,2016,14-May-16,135,3,JEO,aspen,a,80-100,a-80-100,Claytonia.lanceolata,9,NA,bare
Avery.Wash,AW,2016,14-May-16,135,3,JEO,dry,d,0-20,d-0-20,0,0,NA,snow
Avery.Wash,AW,2016,14-May-16,135,3,JEO,dry,d,20-40,d-20-40,0,0,NA,snow
Avery.Wash,AW,2016,14-May-16,135,3,JEO,dry,d,40-60,d-40-60,Claytonia.lanceolata,3,NA,bare
Avery.Wash,AW,2016,14-May-16,135,3,JEO,dry,d,60-80,d-60-80,Claytonia.lanceolata,2,NA,bare
Avery.Wash,AW,2016,14-May-16,135,3,JEO,dry,d,80-100,d-80-100,Mertensia.fusiformis,12,NA,bare
Avery.Wash,AW,2016,14-May-16,135,3,JEO,wet,w,0-20,w-0-20,0,0,NA,snow
Avery.Wash,AW,2016,14-May-16,135,3,JEO,wet,w,20-40,w-20-40,0,0,NA,snow
Avery.Wash,AW,2016,14-May-16,135,3,JEO,wet,w,40-60,w-40-60,0,0,NA,snow
